model,target,fold,auc_roc,auc_pr,f1,precision,recall,accuracy,brier,ece
LightGBM,y_default,2.0,0.8671207573308706,0.6947920549780964,0.6458333333333334,0.8857142857142857,0.5081967213114754,0.9301848049281314,0.060924695885372075,0.03719388967008999
LightGBM,y_default,3.0,0.8566970391631831,0.6722673621910573,0.5970149253731343,0.759493670886076,0.4918032786885246,0.9167523124357657,0.06769051887370574,0.042279562700973466
LightGBM,y_default,4.0,0.8952630463678218,0.7499548462360874,0.6636363636363637,0.7448979591836735,0.5983606557377049,0.9239465570400822,0.059523141396543654,0.04150358716041351
LightGBM,y_default,5.0,0.8695844811311668,0.715946629169653,0.6666666666666666,0.8904109589041096,0.5327868852459017,0.9331963001027749,0.058532877572927154,0.03038583910691513
LSTM,y_default,1.0,0.47780054644808745,0.12127505423890836,0.2191780821917808,0.13457943925233645,0.5901639344262295,0.473305954825462,0.24986883997917175,0.3730225382215923
LSTM,y_default,2.0,0.49249595936273377,0.12440998427843838,0.17571059431524547,0.12830188679245283,0.2786885245901639,0.6724845995893224,0.24448613822460175,0.36690217620660637
LSTM,y_default,3.0,0.5166438712411627,0.12429459250494719,0.22781456953642384,0.1358609794628752,0.7049180327868853,0.40082219938335045,0.25502699613571167,0.38098293631686947
LSTM,y_default,4.0,0.788387817610911,0.30907007444264556,0.42953020134228187,0.2953846153846154,0.7868852459016393,0.7379239465570401,0.18016555905342102,0.2824230769157165
LSTM,y_default,5.0,0.6605343761437845,0.18803142822481722,0.30131004366812225,0.20535714285714285,0.5655737704918032,0.671120246659815,0.21741418540477753,0.24379761066031236
HybridLSTM,y_default,1.0,0.8751924112983914,0.6723007812128531,0.6,0.5178571428571429,0.7131147540983607,0.8809034907597536,0.10553312301635742,0.16675239174915532
HybridLSTM,y_default,2.0,0.8440314015238974,0.6183337542630385,0.5433962264150943,0.5034965034965035,0.5901639344262295,0.8757700205338809,0.09666973352432251,0.0828700668601132
HybridLSTM,y_default,3.0,0.8366338540964343,0.6426090330475374,0.450402144772118,0.3346613545816733,0.6885245901639344,0.789311408016444,0.13544678688049316,0.18971720022768673
HybridLSTM,y_default,4.0,0.8966500356379188,0.7237116712493726,0.6056338028169014,0.5308641975308642,0.7049180327868853,0.8848920863309353,0.08661144226789474,0.09660028399591394
HybridLSTM,y_default,5.0,0.8567355666429081,0.6425803359921494,0.5171339563862928,0.41708542713567837,0.680327868852459,0.8406988694758479,0.12482960522174835,0.19607610702667796
LogisticRegression,y_bad,1.0,0.694847545021761,0.6975794545422273,0.5959475566150179,0.628140703517588,0.5668934240362812,0.6519507186858317,0.21639572830786233,0.08202991842785172
LogisticRegression,y_bad,2.0,0.7472272210948169,0.7467177590964028,0.6233128834355828,0.679144385026738,0.5759637188208617,0.6848049281314168,0.1991261856890817,0.058910678554260465
LogisticRegression,y_bad,3.0,0.7380564557393825,0.719513690525012,0.6295454545454545,0.6295454545454545,0.6295454545454545,0.6649537512846866,0.2048063998466905,0.07738470018689556
LogisticRegression,y_bad,4.0,0.7337369947126045,0.7301600344118148,0.6358511837655016,0.6308724832214765,0.6409090909090909,0.6680369989722508,0.2072439136528004,0.07390839476003648
LogisticRegression,y_bad,5.0,0.7132781852294048,0.7096149491267024,0.6193118756936737,0.6052060737527115,0.634090909090909,0.6474820143884892,0.21427665125950074,0.08252579620169923
XGBoost,y_bad,1.0,0.6797232964480351,0.7146007887579827,0.616580310880829,0.497907949790795,0.8095238095238095,0.5441478439425051,0.2811768352985382,0.23724797597916095
XGBoost,y_bad,2.0,0.7046580983863214,0.7329305010770488,0.6299212598425197,0.5128205128205128,0.8163265306122449,0.5657084188911704,0.26055723428726196,0.21021064481022914
XGBoost,y_bad,3.0,0.7079012450963669,0.734124897165813,0.6261603375527426,0.49798657718120803,0.8431818181818181,0.5447070914696814,0.27687472105026245,0.2413796409734841
XGBoost,y_bad,4.0,0.7309397919154017,0.7523750718100193,0.649458784346378,0.5124835742444153,0.8863636363636364,0.5673175745118191,0.267446368932724,0.23816285362775377
XGBoost,y_bad,5.0,0.7256694524987208,0.7366508395610789,0.6564364876385337,0.5252387448840382,0.875,0.5858170606372045,0.26591336727142334,0.23131482213551807
RandomForest,y_bad,1.0,0.7040071813590977,0.7265744517041427,0.5688545688545689,0.6577380952380952,0.5011337868480725,0.6560574948665298,0.20696214215060124,0.05924422453093025
RandomForest,y_bad,2.0,0.7318945088979931,0.7461622259605727,0.5912806539509536,0.7406143344709898,0.49206349206349204,0.6919917864476386,0.20152262584114863,0.05691474107652583
RandomForest,y_bad,3.0,0.7495437489339929,0.7591746698663209,0.609375,0.7134146341463414,0.5318181818181819,0.6916752312435765,0.19768309600773157,0.0632475357198583
RandomForest,y_bad,4.0,0.7229276820740235,0.7367346810401831,0.5849802371541502,0.6959247648902821,0.5045454545454545,0.6762589928057554,0.20497669715683386,0.06255561700223192
RandomForest,y_bad,5.0,0.7263047927682075,0.7474835562429788,0.6041131105398457,0.6952662721893491,0.5340909090909091,0.6834532374100719,0.20435826343419364,0.08264835473305666
LightGBM,y_bad,1.0,0.6835692375762061,0.7152331890846723,0.5906862745098039,0.6426666666666667,0.546485260770975,0.6570841889117043,0.22289506150510047,0.114969522492161
LightGBM,y_bad,2.0,0.7173233270794246,0.7376884770882417,0.5747126436781609,0.6578947368421053,0.5102040816326531,0.6581108829568788,0.20538268086074216,0.0743321458177896
LightGBM,y_bad,3.0,0.7255074194098583,0.7526204662925569,0.6142506142506142,0.6684491978609626,0.5681818181818182,0.6772867420349434,0.2038300730076364,0.09712227213004808
LightGBM,y_bad,4.0,0.727690602080846,0.7500377673021499,0.6238095238095238,0.655,0.5954545454545455,0.6752312435765673,0.20423481074480054,0.08005057778092269
LightGBM,y_bad,5.0,0.7221516288589459,0.7380784044181468,0.5938650306748466,0.6453333333333333,0.55,0.6598150051387461,0.20730890243399,0.07772739453997352
LSTM,y_bad,1.0,0.5183001280562256,0.45442268865329927,0.6011372867587328,0.46835443037974683,0.8390022675736961,0.49589322381930184,0.2539960741996765,0.07659346106972784
LSTM,y_bad,2.0,0.5614286990593611,0.49548658483018787,0.4827586206896552,0.5075,0.4603174603174603,0.553388090349076,0.24884095788002014,0.045738255494184296
LSTM,y_bad,3.0,0.5342870544090057,0.4909828928763359,0.5528301886792453,0.47258064516129034,0.6659090909090909,0.512846865364851,0.2548332214355469,0.08225570139757532
LSTM,y_bad,4.0,0.535246460856217,0.4816554295070058,0.4679334916864608,0.4900497512437811,0.44772727272727275,0.539568345323741,0.24886779487133026,0.0454689608570973
LSTM,y_bad,5.0,0.5207636875319803,0.47195935307789527,0.4720930232558139,0.48333333333333334,0.46136363636363636,0.5334018499486125,0.24922822415828705,0.04010175439583681
HybridLSTM,y_bad,1.0,0.6689938013979826,0.6359223046672541,0.6153846153846154,0.5445026178010471,0.7074829931972789,0.5995893223819302,0.233097106218338,0.093888891857018
HybridLSTM,y_bad,2.0,0.7042624429384011,0.7189679326225383,0.5805592543275633,0.7032258064516129,0.4943310657596372,0.6765913757700205,0.20771068334579468,0.057550485664691765
HybridLSTM,y_bad,3.0,0.7307820228551937,0.7216056126900728,0.6260069044879172,0.634032634032634,0.6181818181818182,0.6659815005138746,0.20929619669914246,0.08083643519988654
HybridLSTM,y_bad,4.0,0.7009252942179771,0.6838984931840454,0.5899280575539568,0.6243654822335025,0.5590909090909091,0.6485097636176773,0.21661557257175446,0.06684340973062113
HybridLSTM,y_bad,5.0,0.6971089885724033,0.6975549882561873,0.5811965811965812,0.6279683377308707,0.5409090909090909,0.6474820143884892,0.2165227234363556,0.07406972991905623
